label,stage,node_sum,percent,node,hex,color_name,x,csum_norm,csum,start,mid_point,y,node_label
Oil,source,27.9483616741,33.32504279703466,0,#FD7575,light red,0.01,83.8659438318468,27.9483616741,0,13.97418083705,0.1666252139851733,Oil 27.9EJ 33.3%
Natural Gas,source,31.676036183110003,37.76984403421394,1,#169E70,green,0.01,83.8659438318468,59.62439785721,27.9483616741,43.786379765655,0.5220996481414163,Natural Gas 31.7EJ 37.8%
Biomass,source,9.308564562614706,11.099337987870973,2,#B92DAA,fuscia,0.01,83.8659438318468,68.9329624198247,59.62439785721,64.27868013851736,0.7664455582518409,Biomass 9.3EJ 11.1%
Coal,source,2.435136199694402,2.9036055500393667,3,#080808,dark grey,0.01,83.8659438318468,71.36809861951912,68.9329624198247,70.15053051967192,0.8364602759413927,Coal 2.4EJ 2.9%
Nuclear,source,0.64044076411939,0.7636481924098879,4,#FF8100,orange,0.01,83.8659438318468,72.0085393836385,71.36809861951912,71.6883190015788,0.8547965446536389,Nuclear 0.6EJ 0.8%
Wind,source,6.939518886397061,8.274537397815447,5,#62C0F5,light blue,0.01,83.8659438318468,78.94805827003556,72.0085393836385,75.47829882683703,0.8999874726047655,Wind 6.9EJ 8.3%
Solar,source,3.92189339271124,4.676383778109894,6,#F7EB49,yellow,0.01,83.8659438318468,82.8699516627468,78.94805827003556,80.90900496639118,0.9647420784843922,Solar 3.9EJ 4.7%
Hydropower,source,0.9959921691,1.1876002625058244,7,#0F6092,dark blue,0.01,83.8659438318468,83.8659438318468,82.8699516627468,83.3679477472968,0.9940619986874708,Hydropower 1EJ 1.2%
Gas,mid,31.63753,37.72393006562234,8,#8DD65E,lime,0.25,NA,NA,0,NA,0.5,Gas 31.6EJ 37.7%
Liquid Fuels,mid,36.006413865683164,42.93329594892162,9,#AB0000,dark red,0.4,NA,NA,0,NA,0.2,Liquid Fuels 36EJ 42.9%
Electricity,mid,23.50888093605606,28.031498677451143,10,#FFBD05,marigold,0.6,NA,NA,0,NA,0.6,Electricity 23.5EJ 28%
Hydrogen,mid,0.38277063892,0.4564077162089348,11,#FF96B8,pink,0.7,NA,NA,0,NA,0.9,Hydrogen 0.4EJ 0.5%
Transportation-NonVehicle,target,6.060265918329001,7.2261345206821685,12,#AD4C1F,rust,0.95,83.8659438318468,6.060265918329001,0,3.0301329591645003,0.036130672603410845,Transportation-NonVehicle 6.1EJ 7.2%
Transportation-Vehicle,target,21.48253422352,25.615325174892188,13,#AD4C1F,rust,0.95,83.8659438318468,27.542800141849,6.060265918329001,16.801533030089,0.20033797108128265,Transportation-Vehicle 21.5EJ 25.6%
Industry,target,22.6245411483115,26.97703038276686,14,#B35DA3,muted purple,0.95,83.8659438318468,50.1673412901605,27.542800141849,38.85507071600475,0.46329974886957787,Industry 22.6EJ 27%
Commercial,target,9.174809535786036,10.939851287170564,15,#2D95A9,teal,0.95,83.8659438318468,59.34215082594653,50.1673412901605,54.75474605805351,0.652884157219265,Commercial 9.2EJ 10.9%
Residential,target,10.551236084784675,12.581073559417815,16,#5591CC,grey blue,0.95,83.8659438318468,69.89338691073121,59.34215082594653,64.61776886833887,0.7704887814522069,Residential 10.6EJ 12.6%
Losses,target,13.972556921115592,16.660585075070397,17,#080808,dark grey,0.95,83.8659438318468,83.8659438318468,69.89338691073121,76.87966537128901,0.916697074624648,Losses 14EJ 16.7%
