scenario,source,target,year,value,units
rcp45cooler_ssp3,Biomass,Commercial,1975,0,EJ
rcp45cooler_ssp3,Biomass,Electricity,1975,0.001982010715,EJ
rcp45cooler_ssp3,Biomass,Gas,1975,0,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,1975,0,EJ
rcp45cooler_ssp3,Biomass,Industry,1975,1.0881853081,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,1975,0,EJ
rcp45cooler_ssp3,Biomass,Residential,1975,0,EJ
rcp45cooler_ssp3,Coal,Commercial,1975,0,EJ
rcp45cooler_ssp3,Coal,Electricity,1975,9.42687943,EJ
rcp45cooler_ssp3,Coal,Gas,1975,0,EJ
rcp45cooler_ssp3,Coal,Hydrogen,1975,0,EJ
rcp45cooler_ssp3,Coal,Industry,1975,3.0970484513,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,1975,0,EJ
rcp45cooler_ssp3,Coal,Residential,1975,0,EJ
rcp45cooler_ssp3,Electricity,Commercial,1975,0,EJ
rcp45cooler_ssp3,Electricity,Industry,1975,2.366563514,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,1975,0.0773441344,EJ
rcp45cooler_ssp3,Electricity,Losses,1975,13.6856875977109,EJ
rcp45cooler_ssp3,Electricity,Residential,1975,0,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,1975,0.0141006543591,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,1975,0,EJ
rcp45cooler_ssp3,Gas,Commercial,1975,0,EJ
rcp45cooler_ssp3,Gas,Electricity,1975,3.037422845625,EJ
rcp45cooler_ssp3,Gas,Hydrogen,1975,0,EJ
rcp45cooler_ssp3,Gas,Industry,1975,7.1560155983,EJ
rcp45cooler_ssp3,Gas,Liquid Fuels,1975,0.788507633,EJ
rcp45cooler_ssp3,Gas,Losses,1975,0.38725392307499895,EJ
rcp45cooler_ssp3,Gas,Residential,1975,0,EJ
rcp45cooler_ssp3,Gas,Transportation-Vehicle,1975,0,EJ
rcp45cooler_ssp3,Geothermal,Electricity,1975,0.01214783177,EJ
rcp45cooler_ssp3,Hydrogen,Industry,1975,0,EJ
rcp45cooler_ssp3,Hydrogen,Losses,1975,0,EJ
rcp45cooler_ssp3,Hydrogen,Transportation-Vehicle,1975,0,EJ
