region,basin,subregion
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast,Africa_Eastern
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast,Africa_Northern
Africa_Eastern,Madasgacar,Africa_Eastern
Africa_Eastern,Nile,Africa_Eastern
Africa_Eastern,Nile,Africa_Northern
Africa_Eastern,Nile,Africa_Southern
Africa_Eastern,Nile,Africa_Western
Africa_Eastern,Rift Valley,Africa_Eastern
Africa_Eastern,Rift Valley,Africa_Southern
Africa_Eastern,Shebelli-Juba,Africa_Eastern
Africa_Northern,Africa-North Interior,Africa_Eastern
Africa_Northern,Africa-North Interior,Africa_Northern
Africa_Northern,Africa-North Interior,Africa_Western
Africa_Northern,Africa-North West Coast,Africa_Northern
Africa_Northern,Africa-North West Coast,Africa_Western
Africa_Northern,Mediterranean South Coast,Africa_Northern
Africa_Northern,Sinai Peninsula,Africa_Northern
Africa_Northern,Sinai Peninsula,Middle East
Africa_Southern,Africa-East Central Coast,Africa_Eastern
Africa_Southern,Africa-East Central Coast,Africa_Southern
Africa_Southern,Africa-Indian Ocean Coast,Africa_Southern
Africa_Southern,Africa-South Interior,Africa_Southern
Africa_Southern,Angola-Coast,Africa_Southern
Africa_Southern,Namibia-Coast,Africa_Southern
Africa_Southern,Zambezi,Africa_Southern
Africa_Southern,Zambezi,Africa_Western
Africa_Western,Africa-West Coast,Africa_Western
Africa_Western,Congo,Africa_Eastern
Africa_Western,Congo,Africa_Southern
Africa_Western,Congo,Africa_Western
Africa_Western,Gulf of Guinea,Africa_Southern
Africa_Western,Gulf of Guinea,Africa_Western
Africa_Western,Lake Chad,Africa_Eastern
Africa_Western,Lake Chad,Africa_Northern
Africa_Western,Lake Chad,Africa_Western
Africa_Western,Niger,Africa_Northern
Africa_Western,Niger,Africa_Western
Africa_Western,Senegal,Africa_Western
Africa_Western,Volta,Africa_Western
Argentina,Central Patagonia Highlands,Argentina
Argentina,Mar Chiquita,Argentina
Argentina,Negro,Argentina
Argentina,North Argentina-South Atlantic Coast,Argentina
Argentina,Pampas Region,Argentina
Argentina,Salinas Grandes,Argentina
Argentina,South America-Colorado,Argentina
Argentina,South Argentina-South Atlantic Coast,Argentina
Argentina,South Argentina-South Atlantic Coast,South America_Southern
Australia_NZ,Australia-East Coast,Australia_NZ
Australia_NZ,Australia-Interior,Australia_NZ
Australia_NZ,Australia-North Coast,Australia_NZ
Australia_NZ,Australia-South Coast,Australia_NZ
Australia_NZ,Australia-West Coast,Australia_NZ
Australia_NZ,Murray-Darling,Australia_NZ
Australia_NZ,New Zealand,Australia_NZ
Australia_NZ,Tasmania,Australia_NZ
Brazil,Amazon,Brazil
Brazil,Amazon,Colombia
Brazil,Amazon,South America_Northern
Brazil,Amazon,South America_Southern
Brazil,East Brazil-South Atlantic Coast,Brazil
Brazil,La Plata,Argentina
Brazil,La Plata,Brazil
Brazil,La Plata,South America_Southern
Brazil,North Brazil-South Atlantic Coast,Brazil
Brazil,Orinoco,Brazil
Brazil,Orinoco,Colombia
Brazil,Orinoco,South America_Northern
Brazil,Orinoco,South America_Southern
Brazil,Parnaiba,Brazil
Brazil,Sao Francisco,Brazil
Brazil,Tocantins,Brazil
Brazil,Uruguay-Brazil-South Atlantic Coast,Brazil
Brazil,Uruguay-Brazil-South Atlantic Coast,South America_Southern
Canada,Atlantic Ocean Seaboard,Canada
Canada,Churchill,Canada
Canada,Fraser,Canada
Canada,Fraser,WA
Canada,Great Lakes,Canada
Canada,Great Lakes,IL
Canada,Great Lakes,IN
Canada,Great Lakes,ME
Canada,Great Lakes,MI
Canada,Great Lakes,MN
Canada,Great Lakes,NH
Canada,Great Lakes,NY
Canada,Great Lakes,OH
Canada,Great Lakes,PA
Canada,Great Lakes,VT
Canada,Great Lakes,WI
Canada,Hudson Bay Coast,Canada
Canada,Mackenzie,Canada
Canada,Northwest Territories,Canada
Canada,Saskatchewan-Nelson,Canada
