scenario,source,target,year,value,units
rcp45cooler_ssp3,Biomass,Commercial,1975,0,EJ
rcp45cooler_ssp3,Biomass,Electricity,1975,0.001982010715,EJ
rcp45cooler_ssp3,Biomass,Gas,1975,0,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,1975,0,EJ
rcp45cooler_ssp3,Biomass,Industry,1975,1.0881853081,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,1975,0,EJ
rcp45cooler_ssp3,Biomass,Residential,1975,0,EJ
rcp45cooler_ssp3,Coal,Commercial,1975,0,EJ
rcp45cooler_ssp3,Coal,Electricity,1975,9.42687943,EJ
rcp45cooler_ssp3,Coal,Gas,1975,0,EJ
rcp45cooler_ssp3,Coal,Hydrogen,1975,0,EJ
rcp45cooler_ssp3,Coal,Industry,1975,3.0970484513,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,1975,0,EJ
rcp45cooler_ssp3,Coal,Residential,1975,0,EJ
rcp45cooler_ssp3,Desalination,Domestic Water Use,1975,0,km3
rcp45cooler_ssp3,Desalination,Electricity Water Use,1975,0,km3
rcp45cooler_ssp3,Desalination,Industry Water Use,1975,0,km3
rcp45cooler_ssp3,Desalination,Irrigation Water Use,1975,0,km3
rcp45cooler_ssp3,Desalination,Livestock Water Use,1975,0,km3
rcp45cooler_ssp3,Desalination,Mining Water Use,1975,0,km3
rcp45cooler_ssp3,Domestic Water Use,Residential,1975,4.83596812,km3
rcp45cooler_ssp3,Electricity,Commercial,1975,0,EJ
rcp45cooler_ssp3,Electricity,Industry,1975,2.366563514,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,1975,0.0773441344,EJ
rcp45cooler_ssp3,Electricity,Losses,1975,13.6856875977109,EJ
rcp45cooler_ssp3,Electricity,Residential,1975,0,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,1975,0.0141006543591,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,1975,0,EJ
rcp45cooler_ssp3,Electricity Water Use,Biomass,1975,1.2320047798000002e-4,km3
rcp45cooler_ssp3,Electricity Water Use,Coal,1975,4.99675702831,km3
rcp45cooler_ssp3,Electricity Water Use,Gas,1975,0.35827173383855004,km3
rcp45cooler_ssp3,Electricity Water Use,Geothermal,1975,0.002294595209999999,km3
