source,smap
Arkansas White Red,
California River,
Caribbean,
desalination,Desalination
Great,
groundwater,Groundwater
Lower Colorado River,
Lower Mississippi River,
Mid Atlantic,
Missouri River,
New England,
Ohio River,
Pacific Northwest,
Rio Grande River,
runoff,Surface Water
South Atlantic Gulf,
Tennessee River,
Texas Gulf Coast,
Upper Colorado River,
Upper Mississippi,
water_td_an_W,Livestock Water Use
water_td_dom_W,Domestic Water Use
water_td_elec_W,Electricity Water Use
water_td_ind_W,Industry Water Use
water_td_irr_W,Irrigation Water Use
water_td_pri_W,Mining Water Use
