scenario,target,source,year,value
rcp45cooler_ssp3,groundwater,Arkansas White Red,1975,0
rcp45cooler_ssp3,groundwater,Arkansas White Red,1990,2.05069
rcp45cooler_ssp3,groundwater,Arkansas White Red,2005,7.12072
rcp45cooler_ssp3,groundwater,Arkansas White Red,2010,7.99165
rcp45cooler_ssp3,groundwater,Arkansas White Red,2015,6.9770200000000004
rcp45cooler_ssp3,groundwater,Arkansas White Red,2020,3.17862
rcp45cooler_ssp3,groundwater,Arkansas White Red,2025,3.05003
rcp45cooler_ssp3,groundwater,Arkansas White Red,2030,5.32252
rcp45cooler_ssp3,groundwater,Arkansas White Red,2035,4.0394
rcp45cooler_ssp3,groundwater,Arkansas White Red,2040,10.6828
rcp45cooler_ssp3,groundwater,Arkansas White Red,2045,12.1599
rcp45cooler_ssp3,groundwater,Arkansas White Red,2050,7.9399
rcp45cooler_ssp3,groundwater,Arkansas White Red,2055,14.543
rcp45cooler_ssp3,groundwater,Arkansas White Red,2060,4.66586
rcp45cooler_ssp3,groundwater,Arkansas White Red,2065,3.3125
rcp45cooler_ssp3,groundwater,Arkansas White Red,2070,6.29476
rcp45cooler_ssp3,groundwater,Arkansas White Red,2075,4.40518
rcp45cooler_ssp3,groundwater,Arkansas White Red,2080,12.8467
rcp45cooler_ssp3,groundwater,Arkansas White Red,2085,16.5597
rcp45cooler_ssp3,groundwater,Arkansas White Red,2090,11.7515
rcp45cooler_ssp3,groundwater,Arkansas White Red,2095,15.0821
rcp45cooler_ssp3,groundwater,Arkansas White Red,2100,4.5962
rcp45cooler_ssp3,runoff,Arkansas White Red,1975,17.7246
rcp45cooler_ssp3,runoff,Arkansas White Red,1990,17.7299
rcp45cooler_ssp3,runoff,Arkansas White Red,2005,17.7485
rcp45cooler_ssp3,runoff,Arkansas White Red,2010,17.7555
rcp45cooler_ssp3,runoff,Arkansas White Red,2015,17.7882
rcp45cooler_ssp3,runoff,Arkansas White Red,2020,21.6738
rcp45cooler_ssp3,runoff,Arkansas White Red,2025,23.3613
rcp45cooler_ssp3,runoff,Arkansas White Red,2030,22.9233
rcp45cooler_ssp3,runoff,Arkansas White Red,2035,21.8766
rcp45cooler_ssp3,runoff,Arkansas White Red,2040,15.622
rcp45cooler_ssp3,runoff,Arkansas White Red,2045,15.558
rcp45cooler_ssp3,runoff,Arkansas White Red,2050,18.5604
rcp45cooler_ssp3,runoff,Arkansas White Red,2055,14.2835
rcp45cooler_ssp3,runoff,Arkansas White Red,2060,21.9199
rcp45cooler_ssp3,runoff,Arkansas White Red,2065,23.0611
rcp45cooler_ssp3,runoff,Arkansas White Red,2070,22.9768
rcp45cooler_ssp3,runoff,Arkansas White Red,2075,22.9244
rcp45cooler_ssp3,runoff,Arkansas White Red,2080,15.7726
rcp45cooler_ssp3,runoff,Arkansas White Red,2085,15.3309
rcp45cooler_ssp3,runoff,Arkansas White Red,2090,17.1223
rcp45cooler_ssp3,runoff,Arkansas White Red,2095,14.8166
rcp45cooler_ssp3,runoff,Arkansas White Red,2100,21.5146
rcp45cooler_ssp3,groundwater,California River,1975,0
rcp45cooler_ssp3,groundwater,California River,1990,5.07885
rcp45cooler_ssp3,groundwater,California River,2005,11.3001
rcp45cooler_ssp3,groundwater,California River,2010,9.12953
rcp45cooler_ssp3,groundwater,California River,2015,7.36854
rcp45cooler_ssp3,groundwater,California River,2020,5.8207
rcp45cooler_ssp3,groundwater,California River,2025,2.11514
rcp45cooler_ssp3,groundwater,California River,2030,20.1105
rcp45cooler_ssp3,groundwater,California River,2035,14.2292
rcp45cooler_ssp3,groundwater,California River,2040,11.7263
rcp45cooler_ssp3,groundwater,California River,2045,19.4442
rcp45cooler_ssp3,groundwater,California River,2050,23.6284
rcp45cooler_ssp3,groundwater,California River,2055,30.5588
rcp45cooler_ssp3,groundwater,California River,2060,16.9159
rcp45cooler_ssp3,groundwater,California River,2065,10.0634
