scenario,region,basin,resource,subresource,year,value,Units,share
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,1975,0,km^3,0
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,1990,2.05069,km^3,0.10367183183110311
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2005,7.12072,km^3,0.2863266318766733
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2010,7.99165,km^3,0.31038969361657504
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2015,6.9770200000000004,km^3,0.281726550379928
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2020,3.17862,km^3,0.12789981820683863
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2025,3.05003,km^3,0.115481878421117
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2030,5.32252,km^3,0.18843566941940434
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2035,4.0394,km^3,0.15586510263929618
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2040,10.6828,km^3,0.40611599403911075
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2045,12.1599,km^3,0.43870206617384433
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2050,7.9399,km^3,0.29961547605121447
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2055,14.543,km^3,0.5045010667267965
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2060,4.66586,km^3,0.17550222374684796
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2065,3.3125,km^3,0.12559908393241725
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2070,6.29476,km^3,0.2150469602576699
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2075,4.40518,km^3,0.16118725571340647
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2080,12.8467,km^3,0.4488823975429168
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2085,16.5597,km^3,0.5192658651765724
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2090,11.7515,km^3,0.4069952690674591
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2095,15.0821,km^3,0.5044399923742504
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,2100,4.5962,km^3,0.1760267781913997
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,1975,17.7246,km^3,1
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,1990,17.7299,km^3,0.8963281681688969
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,2005,17.7485,km^3,0.7136733681233268
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,2010,17.7555,km^3,0.689610306383425
