scenario,region,basin,resource,subresource,Units,year,value,share
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1975,0,0
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1976,0.13671266666666665,0.0076539706131928936
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1977,0.2734253333333333,0.015191366443665774
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1978,0.410138,0.022614830623940565
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1979,0.5468506666666666,0.029926926981269412
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1980,0.6835633333333333,0.03713014298986109
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1981,0.820276,0.04422689259220199
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1982,0.9569886666666666,0.05121951889619434
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1983,1.0937013333333332,0.05811029675444178
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1984,1.230414,0.06490143523164707
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1985,1.3671266666666666,0.07159507996574367
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1986,1.503839333333333,0.0781933154280628
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1987,1.640552,0.08469816708753687
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1988,1.7772646666666667,0.09111160348365994
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1989,1.9139773333333332,0.0974355382126615
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,1990,2.05069,0.10367183183110311
