scenario,source,target,year,value,units
rcp45cooler_ssp3,Arkansas White Red,desalination,1975,0,km3
rcp45cooler_ssp3,Arkansas White Red,groundwater,1975,0,km3
rcp45cooler_ssp3,Arkansas White Red,runoff,1975,17.7246,km3
rcp45cooler_ssp3,California River,desalination,1975,0,km3
rcp45cooler_ssp3,California River,groundwater,1975,0,km3
rcp45cooler_ssp3,California River,runoff,1975,24.9348,km3
rcp45cooler_ssp3,desalination,water_td_an_W,1975,0,km3
rcp45cooler_ssp3,desalination,water_td_dom_W,1975,0,km3
rcp45cooler_ssp3,desalination,water_td_elec_W,1975,0,km3
rcp45cooler_ssp3,desalination,water_td_ind_W,1975,0,km3
rcp45cooler_ssp3,desalination,water_td_irr_W,1975,0,km3
rcp45cooler_ssp3,desalination,water_td_pri_W,1975,0,km3
rcp45cooler_ssp3,Fraser,groundwater,1975,0,km3
rcp45cooler_ssp3,Fraser,runoff,1975,69.6713,km3
rcp45cooler_ssp3,Great,desalination,1975,0,km3
rcp45cooler_ssp3,Great,groundwater,1975,0,km3
rcp45cooler_ssp3,Great,runoff,1975,0.980384,km3
rcp45cooler_ssp3,Great Lakes,groundwater,1975,0,km3
rcp45cooler_ssp3,Great Lakes,runoff,1975,188.944,km3
rcp45cooler_ssp3,groundwater,water_td_an_W,1975,0,km3
rcp45cooler_ssp3,groundwater,water_td_dom_W,1975,0,km3
rcp45cooler_ssp3,groundwater,water_td_elec_W,1975,0,km3
rcp45cooler_ssp3,groundwater,water_td_ind_W,1975,0,km3
rcp45cooler_ssp3,groundwater,water_td_irr_W,1975,0,km3
rcp45cooler_ssp3,groundwater,water_td_pri_W,1975,0,km3
rcp45cooler_ssp3,Lower Colorado River,desalination,1975,0,km3
rcp45cooler_ssp3,Lower Colorado River,groundwater,1975,0,km3
rcp45cooler_ssp3,Lower Colorado River,runoff,1975,2.70739,km3
rcp45cooler_ssp3,Lower Mississippi River,desalination,1975,0,km3
rcp45cooler_ssp3,Lower Mississippi River,groundwater,1975,0,km3
rcp45cooler_ssp3,Lower Mississippi River,runoff,1975,16.0189,km3
rcp45cooler_ssp3,Mexico-Northwest Coast,desalination,1975,0,km3
rcp45cooler_ssp3,Mexico-Northwest Coast,groundwater,1975,0,km3
rcp45cooler_ssp3,Mexico-Northwest Coast,runoff,1975,4.88779,km3
rcp45cooler_ssp3,Mid Atlantic,groundwater,1975,0,km3
rcp45cooler_ssp3,Mid Atlantic,runoff,1975,57.3386,km3
rcp45cooler_ssp3,Missouri River,desalination,1975,0,km3
rcp45cooler_ssp3,Missouri River,groundwater,1975,0,km3
rcp45cooler_ssp3,Missouri River,runoff,1975,34.0502,km3
rcp45cooler_ssp3,New England,groundwater,1975,0,km3
rcp45cooler_ssp3,New England,runoff,1975,61.8056,km3
rcp45cooler_ssp3,Ohio River,groundwater,1975,0,km3
rcp45cooler_ssp3,Ohio River,runoff,1975,53.3395,km3
rcp45cooler_ssp3,Pacific Northwest,groundwater,1975,0,km3
rcp45cooler_ssp3,Pacific Northwest,runoff,1975,184.026,km3
rcp45cooler_ssp3,Rio Grande River,desalination,1975,0,km3
rcp45cooler_ssp3,Rio Grande River,groundwater,1975,0,km3
rcp45cooler_ssp3,Rio Grande River,runoff,1975,7.50039,km3
rcp45cooler_ssp3,runoff,water_td_an_W,1975,0.0206875593885,km3
rcp45cooler_ssp3,runoff,water_td_dom_W,1975,52.9857986981,km3
rcp45cooler_ssp3,runoff,water_td_elec_W,1975,73.14003690611399,km3
rcp45cooler_ssp3,runoff,water_td_ind_W,1975,36.88675506564,km3
rcp45cooler_ssp3,runoff,water_td_irr_W,1975,102.836350496639,km3
rcp45cooler_ssp3,runoff,water_td_pri_W,1975,4.259191429253,km3
rcp45cooler_ssp3,Saskatchewan-Nelson,groundwater,1975,0,km3
rcp45cooler_ssp3,Saskatchewan-Nelson,runoff,1975,99.2022,km3
rcp45cooler_ssp3,South Atlantic Gulf,desalination,1975,0,km3
rcp45cooler_ssp3,South Atlantic Gulf,groundwater,1975,0,km3
rcp45cooler_ssp3,South Atlantic Gulf,runoff,1975,72.3764,km3
rcp45cooler_ssp3,Tennessee River,groundwater,1975,0,km3
rcp45cooler_ssp3,Tennessee River,runoff,1975,19.8088,km3
rcp45cooler_ssp3,Texas Gulf Coast,desalination,1975,0,km3
rcp45cooler_ssp3,Texas Gulf Coast,groundwater,1975,0,km3
rcp45cooler_ssp3,Texas Gulf Coast,runoff,1975,23.7749,km3
rcp45cooler_ssp3,Upper Colorado River,groundwater,1975,0,km3
rcp45cooler_ssp3,Upper Colorado River,runoff,1975,0.964923,km3
rcp45cooler_ssp3,Upper Mississippi,groundwater,1975,0,km3
rcp45cooler_ssp3,Upper Mississippi,runoff,1975,33.1006,km3
rcp45cooler_ssp3,water_td_an_W,Beef,1975,0.00178122798,km3
rcp45cooler_ssp3,water_td_an_W,Dairy,1975,0.02120447541,km3
rcp45cooler_ssp3,water_td_an_W,Pork,1975,0.0048732717008,km3
rcp45cooler_ssp3,water_td_an_W,Poultry,1975,5.218545254e-6,km3
rcp45cooler_ssp3,water_td_an_W,SheepGoat,1975,1.6419535192e-5,km3
rcp45cooler_ssp3,water_td_dom_W,municipal water,1975,58.2057812,km3
rcp45cooler_ssp3,water_td_elec_W,biomass (conv CCS),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,biomass (conv),1975,0.0012320047798,km3
rcp45cooler_ssp3,water_td_elec_W,biomass (IGCC CCS),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,biomass (IGCC),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,coal (conv pul CCS),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,coal (conv pul),1975,49.7434853371,km3
rcp45cooler_ssp3,water_td_elec_W,coal (IGCC CCS),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,coal (IGCC),1975,0.224084946,km3
rcp45cooler_ssp3,water_td_elec_W,CSP,1975,0.019343930000000002,km3
rcp45cooler_ssp3,water_td_elec_W,CSP (dry_hybrid),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,CSP_storage,1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,CSP_storage (dry_hybrid),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,gas (CC CCS),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,gas (CC),1975,2.113258830745,km3
rcp45cooler_ssp3,water_td_elec_W,gas (CT),1975,0.105596434572,km3
rcp45cooler_ssp3,water_td_elec_W,gas (steam),1975,1.3638620730685,km3
rcp45cooler_ssp3,water_td_elec_W,gas (steam/CT),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,Gen_II_LWR,1975,11.827769420000001,km3
rcp45cooler_ssp3,water_td_elec_W,Gen_III,1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,geothermal,1975,0.022945952099999996,km3
rcp45cooler_ssp3,water_td_elec_W,geothermal (dry_hybrid),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,hydro,1975,3.31603453602,km3
rcp45cooler_ssp3,water_td_elec_W,PV,1975,5.382575501e-4,km3
rcp45cooler_ssp3,water_td_elec_W,PV_storage,1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (CC CCS),1975,0,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (CC),1975,0.03994754,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (CT),1975,0.18944896662900002,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (steam),1975,7.491147082,km3
rcp45cooler_ssp3,water_td_elec_W,refined liquids (steam/CT),1975,0,km3
rcp45cooler_ssp3,water_td_ind_W,industry,1975,38.30071413,km3
rcp45cooler_ssp3,water_td_irr_W,biomass,1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,Corn,1975,17.0477094571327,km3
rcp45cooler_ssp3,water_td_irr_W,elec_biomass (conv CCS),1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,elec_biomass (conv),1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,elec_biomass (IGCC CCS),1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,elec_biomass (IGCC),1975,0,km3
rcp45cooler_ssp3,water_td_irr_W,FiberCrop,1975,17.060448642733,km3
rcp45cooler_ssp3,water_td_irr_W,FodderGrass,1975,0.158921023,km3
rcp45cooler_ssp3,water_td_irr_W,FodderHerb,1975,5.077310076163,km3
rcp45cooler_ssp3,water_td_irr_W,MiscCrop,1975,16.03393126854,km3
rcp45cooler_ssp3,water_td_irr_W,OilCrop,1975,7.838355833315,km3
rcp45cooler_ssp3,water_td_irr_W,OtherGrain,1975,12.30451487264,km3
rcp45cooler_ssp3,water_td_irr_W,PalmFruit,1975,7.72723e-4,km3
rcp45cooler_ssp3,water_td_irr_W,Rice,1975,7.1097630534,km3
